folder_name,clip_name,frame_start,frame_end,human_id,object_id,action,comment,Unnamed: 8
20200526,clip_14_0626,113,119,146067,146069,ride,,
20200526,clip_16_0722,19,36,144932,144943,ride,,
20200526,clip_16_0722,25,33,144944,144935,ride,,
20200526,clip_16_0722,36,38,144944,144935,ride,,
20200526,clip_18_0818,39,45,144978,144982,ride,,
20200526,clip_18_0818,47,56,144978,144982,ride,,
20200526,clip_18_0818,94,101,144980,144983,ride,,
20200526,clip_18_0818,103,111,144980,144983,ride,,
20200526,clip_22_1000,0,0,145032,145038,ride,,
20200526,clip_22_1000,3,10,145032,145038,ride,,
20200526,clip_22_1000,32,38,145041,145034,ride,,
20200526,clip_22_1000,40,43,145041,145034,ride,,
20200526,clip_22_1000,51,61,145040,145035,ride,,
20200526,clip_22_1000,66,68,145040,145035,ride,,
20200526,clip_24_1056,0,12,145093,145069,hold,,
20200526,clip_24_1056,13,40,145093,145069,ride,,
20200526,clip_24_1056,42,49,145093,145069,ride,,
20200526,clip_24_1056,0,11,145094,145070,hold,,
20200526,clip_24_1056,12,20,145094,145070,ride,,
20200526,clip_24_1056,32,40,145094,145070,ride,,
20200526,clip_24_1056,0,12,145095,145071,hold,,
20200526,clip_24_1056,13,23,145095,145071,ride,,
20200526,clip_24_1056,35,41,145095,145071,ride,,
20200526,clip_24_1056,16,20,145096,145077,ride,,
20200526,clip_24_1056,23,34,145096,145077,ride,,
20200526,clip_24_1056,24,35,145097,145078,ride,,
20200526,clip_24_1056,42,64,145098,145076,ride,,
20200526,clip_24_1056,50,57,145100,145084,ride,,
20200526,clip_24_1056,60,64,145100,145084,ride,,
20200526,clip_24_1056,91,97,145087,145099,ride,,
20200526,clip_24_1056,100,108,145087,145099,ride,,
20200526,clip_26_1152,63,68,145139,145140,ride,,
20200526,clip_26_1152,70,74,145139,145140,ride,,
20200526,clip_26_1152,78,84,145143,145144,ride,,
20200526,clip_26_1152,89,101,145143,145144,ride,,
20200526,clip_26_1152,99,104,145148,145149,ride,,
20200526,clip_26_1152,106,111,145148,145149,ride,,
20200526,clip_28_1248,34,38,145197,145198,ride,,
20200526,clip_28_1248,40,45,145197,145198,ride,,
20200526,clip_28_1248,64,70,145199,145200,ride,,
20200526,clip_30_1344,0,16,145237,145238,ride,,
20200526,clip_30_1344,19,39,145237,145238,ride,,
20200526,clip_30_1344,2,17,145236,145242,ride,,
20200526,clip_30_1344,23,30,145236,145242,ride,,
20200526,clip_30_1344,49,65,145250,145252,ride,,
20200526,clip_30_1344,70,83,145250,145252,ride,,
20200526,clip_30_1344,49,61,145249,145251,ride,,
20200526,clip_30_1344,66,83,145249,145251,ride,,
20200526,clip_30_1344,74,84,145253,145256,ride,,
20200526,clip_30_1344,86,93,145253,145256,ride,,
20200526,clip_34_1521,0,5,145374,145375,ride,,
20200526,clip_34_1521,5,17,145399,145400,ride,,
20200526,clip_34_1521,19,26,145399,145400,ride,,
20200526,clip_34_1521,11,17,145378,145382,ride,,
20200526,clip_34_1521,19,25,145378,145382,ride,,
20200526,clip_34_1521,27,41,145402,145386,ride,,
20200526,clip_34_1521,47,49,145402,145386,ride,,
20200526,clip_34_1521,51,55,145402,145386,ride,,
20200526,clip_34_1521,28,38,145401,145385,ride,,
20200526,clip_34_1521,42,50,145401,145385,ride,,
20200526,clip_34_1521,81,88,145403,145404,ride,,
20200526,clip_38_1713,0,15,145543,145545,walk,,
20200526,clip_38_1713,73,76,145543,145545,walk,,
20200526,clip_38_1713,77,82,145543,145545,ride,,
20200526,clip_38_1713,0,10,145542,145544,walk,,
20200526,clip_38_1713,17,25,145542,145544,walk,,
20200526,clip_38_1713,69,80,145542,145544,ride,,
20200526,clip_38_1713,3,11,145549,145551,ride,,
20200526,clip_38_1713,51,55,145563,145564,ride,,
20200526,clip_38_1713,57,62,145563,145564,ride,,
20200526,clip_38_1713,110,116,145575,145582,ride,,
20200526,clip_38_1713,110,114,145571,145583,ride,,
20200526,clip_38_1713,116,119,145571,145583,ride,,
20200526,clip_40_1809,0,6,145681,145671,ride,,
20200526,clip_40_1809,36,44,145701,145699,ride,,
20200526,clip_40_1809,47,55,145701,145699,ride,,
20200526,clip_40_1809,44,55,145702,145703,ride,,
20200526,clip_40_1809,107,117,145684,145685,ride,,
20200526,clip_42_1854,46,55,145772,145771,ride,,
20200526,clip_42_1854,47,57,145774,145773,ride,,
20200526,clip_42_1854,105,109,145793,145794,ride,,
20200526,clip_42_1854,110,116,145791,145797,ride,,
20200526,clip_42_1854,108,109,145791,145797,ride,,
20200526,clip_42_1854,110,114,145793,145794,ride,,
20200526,clip_44_1950,111,115,145880,145876,ride,,
20200526,clip_44_1950,117,115,145880,145876,ride,,
20200526,clip_44_1950,112,119,145881,145879,ride,,
20200526,clip_48_2142,0,0,146003,146010,ride,,
20200526,clip_48_2142,64,80,146017,146018,ride,,
20200526,clip_48_2142,84,89,146017,146018,ride,,
20200526,clip_50_2238,110,119,146049,146050,ride,,
20200526,clip_50_2238,110,119,146052,146051,ride,,
20200524,clip_18_0808,90,97,7224,7227,ride,,
20200524,clip_30_1326,71,82,7346,7345,ride,,
20200524,clip_30_1326,84,93,7346,7345,ride,,
20200524,clip_32_1422,46,55,7363,7362,ride,,
20200524,clip_32_1422,59,68,7363,7362,ride,,
20200524,clip_42_1839,67,71,7499,7500,ride,,
20200524,clip_42_1839,73,81,7499,7500,ride,,
20200524,clip_42_1839,103,114,7505,7506,ride,,
20200524,clip_42_1839,118,119,7505,7506,ride,,
20200524,clip_48_2127,102,104,7581,7577,ride,,
20200518,clip_10_0439,105,114,144233,144235,ride,,
20200518,clip_12_0535,93,108,144239,144238,ride,,
20200518,clip_16_0727,31,38,144251,144250,ride,,
20200518,clip_16_0727,41,49,144251,144250,ride,,
20200518,clip_16_0727,44,51,144252,144253,ride,,
20200518,clip_16_0727,54,60,144252,144253,ride,,
20200518,clip_18_0807,0,5,144271,144266,ride,,
20200518,clip_18_0807,8,17,144271,144266,ride,,
20200518,clip_18_0807,12,22,144272,144268,ride,,
20200518,clip_18_0807,47,57,144273,144274,ride,,
20200518,clip_18_0807,61,68,144273,144274,ride,,
20200518,clip_18_0807,97,102,144276,144275,ride,,
20200518,clip_18_0807,105,112,144276,144275,ride,,
20200518,clip_26_1151,0,0,144380,144379,ride,,
20200518,clip_26_1151,2,6,144380,144379,ride,,
20200518,clip_26_1151,0,15,144381,144370,pickup,,
20200518,clip_26_1151,16,22,144381,144370,ride,,
20200518,clip_26_1151,24,26,144381,144370,ride,,
20200518,clip_26_1151,87,95,144378,144374,ride,,
20200518,clip_26_1151,98,108,144378,144374,ride,,
20200518,clip_28_1247,0,3,144412,144397,ride,,
20200518,clip_28_1247,5,18,144412,144397,ride,,
20200518,clip_28_1247,8,11,144413,144403,ride,,
20200518,clip_28_1247,15,24,144413,144403,ride,,
20200518,clip_28_1247,38,53,144419,144405,ride,,
20200518,clip_28_1247,56,61,144419,144405,ride,,
20200518,clip_28_1247,79,83,144415,144406,ride,,
20200518,clip_28_1247,84,96,144415,144406,ride,,
20200518,clip_28_1247,101,108,144415,144406,ride,,
20200518,clip_28_1247,86,99,144417,144407,ride,,
20200518,clip_28_1247,115,119,144418,144409,ride,,
20200518,clip_30_1343,0,16,144449,144450,ride,,
20200518,clip_32_1439,100,110,144497,144496,ride,,
20200518,clip_32_1439,113,119,144497,144496,ride,,
20200518,clip_34_1535,70,79,144521,144520,ride,,
20200518,clip_34_1535,82,90,144521,144520,ride,,
20200518,clip_36_1606,58,65,144568,144569,ride,,
20200518,clip_36_1606,67,79,144568,144569,ride,,
20200518,clip_38_1702,0,5,144630,144605,ride,,
20200518,clip_38_1702,0,5,144629,144604,ride,,
20200518,clip_38_1702,30,52,144633,144632,ride,,
20200518,clip_38_1702,55,63,144633,144632,ride,,
20200518,clip_40_1758,0,119,144667,144654,hold,,
20200518,clip_40_1758,56,63,144683,144682,ride,,
20200518,clip_40_1758,65,71,144683,144682,ride,,
20200518,clip_40_1758,68,77,144686,144687,ride,,
20200518,clip_40_1758,80,81,144686,144687,ride,,
20200518,clip_42_1854,107,119,144755,144756,walk,,
20200518,clip_42_1854,107,119,144757,144758,walk,,
20200518,clip_44_1950,0,10,144784,144785,ride,,
20200518,clip_44_1950,11,15,144791,144790,ride,,
20200518,clip_44_1950,7,10,144791,144790,ride,,
